Projeto,Departamento,Responsavel,Investimento (€),Data_Inicio,Data_Fim,Status,Progresso (%),Observacoes
Digitalização de Lojas,Operações,Ana Silva,120000,2024-02-01,2024-09-15,Concluído,100,Implementação de POS inteligentes em 50 lojas.
Sustentabilidade Logística,Logística,Bruno Costa,85000,2024-03-10,2024-11-30,Em Andamento,65,Redução de 20% no consumo energético da frota.
Análise de Clientes,Marketing,João Mendes,60000,2024-05-01,2024-12-31,Planeado,10,Integração de dados omnicanal para insights de comportamento.
Plataforma de Pagamentos,Financeiro,Marta Lopes,150000,2023-12-01,2024-10-31,Em Andamento,80,Teste piloto em 10 lojas Continente em curso.
Sistema CRM Integrado,TI,Carlos Ferreira,95000,2024-01-15,2024-08-30,Concluído,100,CRM unificado para todas as marcas do grupo.
Automação de Armazéns,Logística,Rita Santos,180000,2024-04-01,2025-03-31,Em Andamento,45,Robótica e AI para gestão de inventário.
App Mobile Clientes,TI,Pedro Almeida,75000,2024-06-01,2024-12-15,Em Andamento,70,Lançamento previsto para Q4 2024.
Treinamento Equipes,RH,Sofia Rocha,40000,2024-02-15,2024-07-30,Concluído,100,Capacitação em transformação digital.
E-commerce B2B,Vendas,Miguel Torres,110000,2024-03-20,2024-11-20,Em Andamento,55,Plataforma para clientes corporativos.
Dashboard Executivo,TI,Ana Silva,50000,2024-05-10,2024-09-30,Concluído,100,BI integrado com KPIs em tempo real.
Programa Fidelidade,Marketing,Laura Dias,90000,2024-04-05,2024-10-25,Em Andamento,75,Gamificação e recompensas personalizadas.
Otimização Energia,Operações,Bruno Costa,130000,2024-01-10,2025-01-31,Em Andamento,60,Painéis solares e sistemas inteligentes.
Blockchain Supply Chain,Logística,Carlos Ferreira,200000,2024-07-01,2025-06-30,Planeado,15,Rastreabilidade completa da cadeia.
Chatbot Atendimento,TI,Rita Santos,65000,2024-03-15,2024-08-31,Concluído,100,AI para suporte ao cliente 24/7.
Expansão Market Place,Vendas,João Mendes,140000,2024-05-20,2025-02-28,Em Andamento,40,Integração de sellers externos.
Análise Preditiva Vendas,Marketing,Marta Lopes,85000,2024-06-10,2024-12-20,Em Andamento,50,Machine Learning para previsão de demanda.
Modernização POS,Operações,Pedro Almeida,160000,2024-02-20,2024-10-15,Em Andamento,85,Upgrade de sistemas de pagamento.
Programa ESG,RH,Sofia Rocha,70000,2024-04-01,2024-12-31,Em Andamento,35,Sustentabilidade e governança corporativa.
Cloud Migration,TI,Miguel Torres,220000,2024-01-05,2025-03-31,Em Andamento,55,Migração de infraestrutura para nuvem.
Portal Fornecedores,Vendas,Laura Dias,95000,2024-03-25,2024-09-30,Concluído,100,Gestão digital de contratos e pedidos.
Sistema Gestão Frotas,Logística,Ana Silva,115000,2024-05-15,2025-01-15,Em Andamento,30,Telemetria e manutenção preditiva.
Marketplace Interno,RH,Bruno Costa,55000,2024-06-20,2024-11-30,Em Andamento,60,Plataforma de troca de benefícios.
Projeto IoT Lojas,Operações,Carlos Ferreira,175000,2024-04-10,2025-02-28,Em Andamento,25,Sensores inteligentes para gestão de espaço.
Sistema Compliance,Financeiro,Rita Santos,80000,2024-02-05,2024-08-15,Concluído,100,Conformidade GDPR e regulamentações.
Integração ERP,TI,Pedro Almeida,190000,2024-07-15,2025-04-30,Planeado,5,Unificação de sistemas empresariais.
